title,Country.Name,year,status,type,target
Special Program for the use of Renewable Energy,Mexico,2014 (April 28th),In Force,Policy Support>Strategic planning,"Wind, Solar, Multiple RE Sources>Power, Bioenergy, Geothermal"
Feed-in tariff for solar PV installations,Algeria,2014 (Apr 24th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar>Solar photovoltaic
Uttar Pradesh renewable energy feed-in tariff 2014 - 2019 levels,India,2014 (Apr 1st),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Hydropower, Solar>Solar photovoltaic, Bioenergy>Biomass for power"
BOCIAN - support for distributed renewable energy sources,Poland,2014,In Force,Economic Instruments>Fiscal/financial incentives>Loans,"Multiple RE Sources, Multiple RE Sources>All"
Ireland Offshore Renewable Energy Development Plan (OREDP),Ireland,2014,In Force,"Policy Support>Strategic planning, Economic Instruments, Economic Instruments>Direct investment>Procurement rules, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Ocean, Ocean>Tidal, Ocean>Wave"
National Climate Change Plan / Climate Protection Policy,Czech Republic,2014,Planned,Policy Support,Multiple RE Sources>All
Vision 2035,Djibouti,2014,In Force,"Policy Support, Policy Support>Strategic planning","Solar, Solar>Solar photovoltaic, Wind, Multiple RE Sources, Multiple RE Sources>All"
Law No. 14/011 (Electricity Sector),Democratic Republic of the Congo,2014,In Force,"Regulatory Instruments, Regulatory Instruments>Auditing","Multiple RE Sources, Multiple RE Sources>All"
The Slovak Energy Efficiency and Renewable Energy Finance Facility (SLOVSEFF III),Slovakia,2014,In Force,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans",Multiple RE Sources
Operational Programme Environment (2014-2020): Sustainable Use of Energy Sources,Czech Republic,2014,Planned,"Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies",Multiple RE Sources
Paraguay's National Development Plan 2014-2030,Paraguay,2014,In Force,Policy Support>Strategic planning,Multiple RE Sources>All
National Electrification Fund,Democratic Republic of the Congo,2014,In Force,"Economic Instruments, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Infrastructure investments","Multiple RE Sources, Multiple RE Sources>All"
Karnataka Renewable Energy Policy 2014-2021 (Draft),India,2014,Planned,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>User charges, Economic Instruments>Market-based instruments>Green certificates","Bioenergy>Co-firing with fossil fuels, Bioenergy>Biomass for power, Hydropower, Wind>Onshore, Multiple RE Sources>Power"
JESSICA-F.I.D.A.E Fund (Energy Saving and Diversification Investment Fund),Spain,2014,In Force,"Economic Instruments>Fiscal/financial incentives, Economic Instruments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies","Solar, Solar Thermal, Bioenergy"
Karnataka Solar Policy 2014-2021,India,2014,In Force,"Economic Instruments>Fiscal/financial incentives>User charges, Economic Instruments>Market-based instruments>Green certificates",Solar>Solar photovoltaic
2014 Energy Policy (2035 and 2050 Horizon),Slovakia,2014,In Force,Policy Support>Strategic planning,Multiple RE Sources
Energy Policy 2014,Slovakia,2014,In Force,"Policy Support>Strategic planning, Policy Support, Policy Support>Institutional creation, Regulatory Instruments","Multiple RE Sources>Power, Bioenergy, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Regional Policy for Universal Access to Modern Energy 2014 - 2030,Angola,2014,In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All"
Energy White Paper and Renewable Energy Target,Brunei Darussalam,2014,In Force,"Policy Support>Strategic planning, Policy Support","Solar>Solar photovoltaic, Bioenergy>Biomass for power, Bioenergy>Biomass for heat"
New Brunswick Climate Change Action Plan (2014 - 2020),Canada,2014,In Force,"Regulatory Instruments>Other mandatory requirements, Policy Support>Strategic planning",Multiple RE Sources
Approval for Sectoral Loan for the Development of Geothermal Energy in Guanacaste (Convenio de Cooperación para un préstamo sectorial para el desarrollo de la geotermia en Guanacaste),Costa Rica,2014,Planned,"Economic Instruments, Economic Instruments>Direct investment",Geothermal
PROSUMER - programme supporting deployment of RES microinstallation,Poland,2014,In Force,Economic Instruments>Fiscal/financial incentives>Loans,"Multiple RE Sources>All, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Research and Development (R&D) Program,Australia,2014,In Force,"Research, Development and Deployment (RD&D)","Multiple RE Sources>Power, Solar Thermal, Solar"
National Energy Policy (Government Regulation No. 79/2014),Indonesia,2014,In Force,"Policy Support, Policy Support>Strategic planning",Multiple RE Sources
New Geothermal Law (No. 21/2014),Indonesia,2014,In Force,Regulatory Instruments,Geothermal
Integrated National Energy Strategy of Iraq,Iraq,2014,In Force,Policy Support>Strategic planning,Multiple RE Sources
Teaching Environmental Responsibility Programme (Chiapas),Mexico,2014,In Force,"Information and Education, Information and Education>Information provision",Multiple RE Sources
National Energy Policy 2013,Fiji,2014,In Force,"Economic Instruments, Information and Education, Policy Support, Regulatory Instruments, Research, Development and Deployment (RD&D), Voluntary Approaches","Multiple RE Sources, Multiple RE Sources>All, Bioenergy>Biofuels for transport, Bioenergy"
Concentrated Solar Power Technology Transfer for Power Generation in Namibia,Namibia,2014,In Force,"Research, Development and Deployment (RD&D)","Solar, Solar Thermal"
Distributed photovoltaic power generation service guide of China Southern Power Grid Company Limited (Interim),China,2013(November 14th),In Force,"Policy Support>Institutional creation, Regulatory Instruments>Codes and standards>Product standards","Solar, Solar>Solar photovoltaic"
Feed-in tariff support for solar PV,China,2013 (last updated 2016),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar>Solar photovoltaic
Energy Act,Bulgaria,2013 (last amended mid-2015),In Force,Policy Support,Multiple RE Sources>All
Decree No. 221/2013 establishing a price regulation in electricity and Decree No. 189/2014 (which amends and supplements decree 221/2013),Slovakia,2013 (last amended 2014),In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Taxes","Multiple RE Sources>Power, Bioenergy, Geothermal, Hydropower, Solar, Wind"
Feed-in tariff for electricity generated from renewable energy sources,Ghana,2013 (last amended 2014),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Multiple RE Sources, Multiple RE Sources>Power, Wind, Solar, Hydropower, Bioenergy"
Feed-in tariff for distributed solar systems,Thailand,2013 (amended in 2014),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Solar
Act on Energy and amendments to certain acts (No. 251/2012),Slovakia,2013 (amended 2014),In Force,"Policy Support, Regulatory Instruments","Multiple RE Sources, Multiple RE Sources>All"
Adjustment of surcharge of renewable electricity generation,China,2013 (Sept 25th),In Force,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives","Multiple RE Sources>All, Multiple RE Sources"
Notice on promotion of PV industry by exert the price leverage effect,China,2013 (Sept 1st),In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Solar, Solar>Solar photovoltaic"
Energy measures in households,Norway,2013 (Sept 18th),In Force,Economic Instruments>Fiscal/financial incentives,"Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources"
Code of practice of the PV manufacturing,China,2013 (Sept 16th),In Force,Regulatory Instruments>Codes and standards,"Solar, Solar>Solar photovoltaic"
Solar Photovoltaic Methodology,Uruguay,2013 (October),In Force,Regulatory Instruments,Solar
Sectorial Policy of Energy,Burkina Faso,2013 (Oct),In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All"
Accelerated depreciation tas relief for renewable energy projects,Vietnam,2013 (Nov 25th),In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,Multiple RE Sources>All
Scaling up Renewable Energy Programme for Tanzania (SREP Tanzania),United Republic of Tanzania,2013 (May),In Force,Policy Support>Strategic planning,"Multiple RE Sources, Geothermal"
Private generation of photovoltaic energy (Auctions and Feed-in Tariffs),Uruguay,2013 (May),In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums",Solar
Brazil Inova Energia Program,Brazil,2013 (May 3rd),In Force,"Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans",Multiple RE Sources>All
National renewable energy inventory,Mexico,2013 (May 1st),In Force,Information and Education>Information provision,"Multiple RE Sources, Multiple RE Sources>All"
Large-scale renewable energy development project (PERGE),Mexico,2013 (May 1st),In Force,Economic Instruments>Direct investment,"Multiple RE Sources, Multiple RE Sources>All, Wind"
Feed-in Tariffs for Electricity Produced from Renewable Energy Sources (3rd quarter of 2013),Lithuania,2013 (May 14th),Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Multiple RE Sources
Framework for Power Cogeneration 2013 Bagasse and Biomass,Pakistan,2013 (March 6th),In Force,Regulatory Instruments,"Bioenergy>Biomass for heat, Bioenergy>Biomass for power"
Resolution on the Feed-in Tariffs for Electricity Produced from Renewable Energy Sources (2nd quarter of 2013),Lithuania,2013 (March 3rd),Superseded,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Solar, Solar>Solar photovoltaic, Wind, Hydropower, Bioenergy, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Bioenergy>Co-firing with fossil fuels"
National Renewable Energy Action Plan (NREAP),Serbia,2013 (June 28th),In Force,Policy Support>Strategic planning,Multiple RE Sources
Feed-in tariff (Regulación para La participación de los generadores de energía eléctrica producida con Recursos Energéticos Renovables No Convencionales No. CONELEC 001/13),Ecuador,2013 (June 21st),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Wind, Solar Thermal, Ocean>Wave, Ocean>Tidal, Bioenergy, Geothermal, Hydropower"
Vanuatu National Energy Road Map (NERM) 2013-2020,Vanuatu,2013 (June 1st),In Force,Voluntary Approaches,Multiple RE Sources>Power
The Law on Changes and Amendments to The Energy Law of RA,Armenia,2013 (June 19th),In Force,Policy Support>Strategic planning,"Multiple RE Sources, Solar"
Power purchase from solar photovoltaic plants (No. 17/2013),Indonesia,2013 (June 12th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,"Solar, Solar>Solar photovoltaic"
Decree No. 449 on the Mechanism for the Promotion of Renewable Energy on the Wholesale Electricity and Market,Russia,2013 (June 11th),In Force,"Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Obligation schemes , Regulatory Instruments>Other mandatory requirements","Multiple RE Sources, Multiple RE Sources>All"
"Law establishing incentives for construction and operation and maintenance of solar PV plants in Panama (Law 37 of 10 June 2013, amended by Law 38 of August 9, 2016) (solar PV auctions)",Panama,2013 (June 10th),In Force,"Economic Instruments>Market-based instruments, Regulatory Instruments",Solar>Solar photovoltaic
Concept of development of electricity generation from small renewable energy sources in Slovakia (I. Stage),Slovakia,2013 (July),In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources, Multiple RE Sources>All"
Notice on the related issues of the application of subsidies based on electric quantity of distributed PV power grid,China,2013 (July 24th),In Force,"Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Solar, Solar>Solar photovoltaic"
Rules Enabling Net Metering Program for Renewable Energy,Philippines,2013 (July 1st),In Force,Regulatory Instruments,"Multiple RE Sources, Multiple RE Sources>Power"
Royal Decree Law 9/2013 on urgent measures to guarantee financial stability in the electricity system,Spain,2013 (July 14th),In Force,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums","Multiple RE Sources, Multiple RE Sources>Power"
Royal Decree Law 15/2012 on tax policy aimed at energy sustainability,Spain,2013 (January 1st),In Force,Economic Instruments>Fiscal/financial incentives>Taxes,"Multiple RE Sources, Multiple RE Sources>All"
Law of finance 2013 relative to the deletion of customs charges on equipments and material of solar energy,Burkina Faso,2013 (Jan),In Force,Economic Instruments>Fiscal/financial incentives>Tax relief,"Solar, Solar Thermal, Solar Thermal>Solar heat, Solar Thermal>Solar thermal electricity (STE), Solar>Solar photovoltaic"
Financial aid programme for energy savings and renewable energy in housing 2013,Luxembourg,2013 (Jan 1st),In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources, Multiple RE Sources>Power, Solar, Solar Thermal, Bioenergy, Multiple RE Sources>Heating, Multiple RE Sources>Renewable heat pumps"
Action Plan for a Coordinated Swiss Energy Research,Switzerland,2013 (Jan 1st),In Force,"Research, Development and Deployment (RD&D)>Research programme >Technology development",Multiple RE Sources
Accelerated Step Change Initiative (ASCI),Australia,2013 (February),In Force,"Research, Development and Deployment (RD&D)",Multiple RE Sources
"Decree on Criteria and Procedure for Qualification for Privileged Electricity Producer Status (RS Official Gazette, No. 8/13)",Serbia,2013 (February 4th),In Force,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements",Multiple RE Sources>Power
"Decree on Method of Calculation and Allocation of Funding Raised from Incentive Fees for Privileged Electricity Producers (RS Official Gazette, No. 8/13)",Serbia,2013 (February 4th),In Force,Regulatory Instruments,Multiple RE Sources>Power
"Decree on Incentive Measures for Privileged Energy Producers (RS Official Gazette, No. 8/13)",Serbia,2013 (February 4th),In Force,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums,Multiple RE Sources>Power
"Decree on Amount of Special Fee for Incentives in 2013 (RS Official Gazette, No. 8/13)",Serbia,2013 (February 4th),In Force,Regulatory Instruments,Multiple RE Sources>Power
National Energy Policy 2013,Ethiopia,2013 (Feb),In Force,"Policy Support, Policy Support>Strategic planning","Multiple RE Sources, Multiple RE Sources>All, Hydropower"
Law 053-2012 on general regulation of the electricity sub sector,Burkina Faso,2013 (Feb 7th),In Force,"Policy Support, Regulatory Instruments",Multiple RE Sources
The Notice of further improvement of New Energy Demonstration implementation,China,2013 (Feb 5th),In Force,"Policy Support, Policy Support>Strategic planning, Regulatory Instruments","Multiple RE Sources, Multiple RE Sources>Power"
Elimination of low emission sources through support of energy efficiency and development of dispersed renewable energy sources. Part 2) pilot program KAWKA,Poland,2013 (Feb 28th),In Force,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Multiple RE Sources, Solar Thermal, Solar Thermal>Solar heat"
The Notice on Integrating and Accommodating Wind Power 2013,China,2013 (Feb 16th),In Force,Policy Support>Strategic planning,Wind
Constitutional Reform 2013,Mexico,2013 (Dec 21st),In Force,"Policy Support>Strategic planning, Economic Instruments, Regulatory Instruments, Information and Education",Multiple RE Sources>All
Electricity Market Reform (EMR),United Kingdom,2013 (April 1st),In Force,Regulatory Instruments,"Multiple RE Sources, Multiple RE Sources>Power"
Investment Subsidy for Solar PV installations <5kWpeak (PV/BIPV 2013),Austria,2013 (April 12th),Ended,Economic Instruments>Fiscal/financial incentives>Grants and subsidies,"Solar>Solar photovoltaic, Solar>Solar photovoltaic>Residential"
Duty of negotiations on third party access to district heating networks,Norway,2013,In Force,Regulatory Instruments,"Multiple RE Sources, Bioenergy, Geothermal"
